ID,카드명,이미지파일명,코스트,카드설명,유형,속성,레어도,파워,히트,레벨,소속,키워드,제품명,IP,variant_key
BT01-001,레드 후드,BT01-001-L.jpg,,기본면 [서약] 자신의 덱에 [화염] 카드만 넣을 수 있다. [각성] 자신의 리더 레벨이 6 이상이라면 이 카드를 뒤집는다. 각성면 [패시브] 자신의 턴 동안 필드에 있는 [어태커] 를 가진 모든 자신 유닛의 파워+2000.,LEADER,화염,L,,,,필그림,서약;각성;패시브;어태커;기본면;각성면,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-001-L
BT01-001,레드 후드,BT01-001-SPL.jpg,,기본면 [서약] 자신의 덱에 [화염] 카드만 넣을 수 있다. [각성] 자신의 리더 레벨이 6 이상이라면 이 카드를 뒤집는다. 각성면 [패시브] 자신의 턴 동안 필드에 있는 [어태커] 를 가진 모든 자신 유닛의 파워+2000.,LEADER,화염,SPL,,,,필그림,서약;각성;패시브;어태커;기본면;각성면,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-001-SPL
BT01-002,네온-블링 불렛,BT01-002-C.jpg,1,[어태커] 이 공격이 끝날 때까지 파워+2000.,UNIT,화염,C,2000,1,,이펙트;엘리시온,어태커,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-002-C
BT01-003,크로우,BT01-003-C.jpg,1,,UNIT,화염,C,3000,1,,베이스;미실리스,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-003-C
BT01-004,노이즈-클래식 디바,BT01-004-R.jpg,1,[어태커] 관통[1] (이 유닛이 공격하여 상대 유닛을 전투로 트래시했다면 상대에게 1대미지를 준다).,UNIT,화염,R,1500,1,,이펙트;테트라,어태커;관통:1,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-004-R
BT01-005,라피-클래식 바캉스,BT01-005-P.jpg,2,[패시브] 광전사 (이 유닛은 가능하다면 반드시 공격해야 한다).,UNIT,화염,P,5000,1,,이펙트;엘리시온,패시브;광전사,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 프로모션 카드,승리의 여신: 니케,BT01-005-P
BT01-005,라피-클래식 바캉스,BT01-005-R.jpg,2,[패시브] 광전사 (이 유닛은 가능하다면 반드시 공격해야 한다).,UNIT,화염,R,5000,1,,이펙트;엘리시온,패시브;광전사,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-005-R
BT01-006,아니스 : 스파클링 서머,BT01-006-SPR.jpg,2,"[어태커] 이 공격이 끝날 때까지 파워+2000. [어태커] 약탈[1] (이 유닛이 공격하여 상대 유닛을 전투로 트래시했다면 카드를 1장 드로우한다). 트리거 / 이 카드를 트래시한다. 필드에 있는 상대 유닛을 1장 골라, 이 턴이 끝날 때까지 파워-5000.",UNIT,화염,SPR,2500,1,,이펙트;테트라,어태커;약탈:1;트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-006-SPR
BT01-006,아니스 : 스파클링 서머,BT01-006-SR.jpg,2,"[어태커] 이 공격이 끝날 때까지 파워+2000. [어태커] 약탈[1] (이 유닛이 공격하여 상대 유닛을 전투로 트래시했다면 카드를 1장 드로우한다). 트리거 / 이 카드를 트래시한다. 필드에 있는 상대 유닛을 1장 골라, 이 턴이 끝날 때까지 파워-5000.",UNIT,화염,SR,2500,1,,이펙트;테트라,어태커;약탈:1;트리거,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-006-SR
BT01-007,클레이,BT01-007-C.jpg,2,,UNIT,화염,C,4000,1,,베이스;테트라,,승리의 여신: 니케 니벨아레나 부스터 팩 BT01 <인카운터>,승리의 여신: 니케,BT01-007-C
